X,Y,PILE ID,Pile Color,X,Y,Z
-93.9957128629523,34.9204784561952,5.65-S1.R054.B,Light Green,13689200.28,3012493.939,69.38780166
-93.9958019320803,34.9204963166811,5.65-S1.R054.C,Yellow,13689172.8,3012493.939,69.37119552
-93.9958910012468,34.920514177102,5.65-S1.R054.D,Yellow,13689145.32,3012493.939,69.35458938
-93.9959800704517,34.9205320374577,5.65-S1.R054.E,Yellow,13689117.84,3012493.939,69.33798323
-93.9960691396951,34.9205498977484,5.65-S1.R054.F,Yellow,13689090.36,3012493.939,69.32137709
-93.9961559076958,34.9205672965207,5.65-S1.R054.G,Dark Blue,13689063.59,3012493.939,69.3052
-93.996242675733,34.9205846952313,5.65-S1.R054.H,Yellow,13689036.82,3012493.939,69.28902291
-93.9963317450896,34.9206025553301,5.65-S1.R054.I,Yellow,13689009.34,3012493.939,69.27241677
-93.9964208144847,34.9206204153638,5.65-S1.R054.J,Yellow,13688981.86,3012493.939,69.25581062
-93.9965098839182,34.9206382753325,5.65-S1.R054.K,Light Green,13688954.38,3012493.939,69.23920448
-93.9965880303851,34.9206539449967,5.65-S1.R054.L,Yellow,13688930.27,3012493.939,69.22463483
-93.9956298578668,34.9205183699457,5.65-S1.R055.A,Yellow,13689221.02,3012513.939,69.37033483
-93.9956970810887,34.9205318498546,5.65-S1.R055.B,Light Green,13689200.28,3012513.939,69.35780166
-93.9957861502708,34.9205497103518,5.65-S1.R055.C,Yellow,13689172.8,3012513.939,69.34119552
-93.9958752194913,34.920567570784,5.65-S1.R055.D,Yellow,13689145.32,3012513.939,69.32458938
-93.9959642887502,34.9205854311511,5.65-S1.R055.E,Yellow,13689117.84,3012513.939,69.30798323
-93.9960533580476,34.9206032914531,5.65-S1.R055.F,Yellow,13689090.36,3012513.939,69.29137709
-93.996140126101,34.9206206902364,5.65-S1.R055.G,Dark Blue,13689063.59,3012513.939,69.2752
-93.9962268941908,34.920638088958,5.65-S1.R055.H,Yellow,13689036.82,3012513.939,69.25902291
-93.9963159636015,34.9206559490681,5.65-S1.R055.I,Yellow,13689009.34,3012513.939,69.24241677
-93.9964050330506,34.9206738091132,5.65-S1.R055.J,Yellow,13688981.86,3012513.939,69.22581062
-93.9964941025381,34.9206916690931,5.65-S1.R055.K,Yellow,13688954.38,3012513.939,69.20920448
-93.9965722490525,34.9207073387672,5.65-S1.R055.L,Yellow,13688930.27,3012513.939,69.19463483
-93.995614075942,34.9205717635939,5.65-S1.R056.A,Light Blue,13689221.02,3012533.939,69.34033483
-93.9956812992047,34.9205852435114,5.65-S1.R056.B,Light Green,13689200.28,3012533.939,69.32780166
-93.9957703684408,34.9206031040199,5.65-S1.R056.C,Yellow,13689172.8,3012533.939,69.31119552
-93.9958594377154,34.9206209644634,5.65-S1.R056.D,Yellow,13689145.32,3012533.939,69.29458938
