PILE ID,Pile Color,X,Y,Z
5.65-S1.R058.G,Dark Blue,13689063.59,3012573.939,69.1852
5.65-S1.R058.H,Yellow,13689036.82,3012573.939,69.16902291
5.65-S1.R058.I,Yellow,13689009.34,3012573.939,69.15241677
5.65-S1.R058.J,Yellow,13688981.86,3012573.939,69.13581062
5.65-S1.R058.K,Yellow,13688954.38,3012573.939,69.11920448
5.65-S1.R058.L,Yellow,13688930.27,3012573.939,69.10463483
5.65-S1.R059.A,Yellow,13689221.02,3012593.939,69.25033483
5.65-S1.R059.B,Light Green,13689200.28,3012593.939,69.23780166
5.65-S1.R059.C,Yellow,13689172.8,3012593.939,69.22119552
5.65-S1.R059.D,Yellow,13689145.32,3012593.939,69.20458938
5.65-S1.R059.E,Yellow,13689117.84,3012593.939,69.18798323
5.65-S1.R059.F,Yellow,13689090.36,3012593.939,69.17137709
5.65-S1.R059.G,Dark Blue,13689063.59,3012593.939,69.1552
5.65-S1.R059.H,Yellow,13689036.82,3012593.939,69.13902291
5.65-S1.R059.I,Yellow,13689009.34,3012593.939,69.12241677
5.65-S1.R059.J,Yellow,13688981.86,3012593.939,69.10581062
5.65-S1.R059.K,Yellow,13688954.38,3012593.939,69.08920448
5.65-S1.R059.L,Yellow,13688930.27,3012593.939,69.07463483
5.65-S1.R060.A,Yellow,13689221.02,3012613.939,69.22033483
5.65-S1.R060.B,Light Green,13689200.28,3012613.939,69.20780166
5.65-S1.R060.C,Yellow,13689172.8,3012613.939,69.19119552
5.65-S1.R060.D,Yellow,13689145.32,3012613.939,69.17458938
5.65-S1.R060.E,Yellow,13689117.84,3012613.939,69.15798323
5.65-S1.R060.F,Yellow,13689090.36,3012613.939,69.14137709
5.65-S1.R060.G,Dark Blue,13689063.59,3012613.939,69.1252
5.65-S1.R060.H,Yellow,13689036.82,3012613.939,69.10902291
5.65-S1.R060.I,Yellow,13689009.34,3012613.939,69.09241677
5.65-S1.R060.J,Yellow,13688981.86,3012613.939,69.07581062
5.65-S1.R060.K,Yellow,13688954.38,3012613.939,69.05920448
5.65-S1.R060.L,Yellow,13688930.27,3012613.939,69.04463483
5.65-S1.R061.A,Yellow,13689221.02,3012633.939,69.19033483
5.65-S1.R061.B,Light Green,13689200.28,3012633.939,69.17780166
5.65-S1.R061.C,Yellow,13689172.8,3012633.939,69.16119552
5.65-S1.R061.D,Yellow,13689145.32,3012633.939,69.14458938
5.65-S1.R061.E,Yellow,13689117.84,3012633.939,69.12798323
5.65-S1.R061.F,Yellow,13689090.36,3012633.939,69.11137709
5.65-S1.R061.G,Dark Blue,13689063.59,3012633.939,69.0952
5.65-S1.R061.H,Yellow,13689036.82,3012633.939,69.07902291
5.65-S1.R061.I,Yellow,13689009.34,3012633.939,69.06241677
5.65-S1.R061.J,Yellow,13688981.86,3012633.939,69.04581062
5.65-S1.R061.K,Yellow,13688954.38,3012633.939,69.02920448
5.65-S1.R061.L,Yellow,13688930.27,3012633.939,69.01463483
5.65-S1.R062.A,Yellow,13689221.02,3012653.939,69.16033483
5.65-S1.R062.B,Light Green,13689200.28,3012653.939,69.14780166
5.65-S1.R062.C,Yellow,13689172.8,3012653.939,69.13119552
5.65-S1.R062.D,Yellow,13689145.32,3012653.939,69.11458938
5.65-S1.R062.E,Yellow,13689117.84,3012653.939,69.09798323
5.65-S1.R062.F,Yellow,13689090.36,3012653.939,69.08137709
5.65-S1.R062.G,Dark Blue,13689063.59,3012653.939,69.0652
5.65-S1.R062.H,Yellow,13689036.82,3012653.939,69.04902291
5.65-S1.R062.I,Yellow,13689009.34,3012653.939,69.03241677
5.65-S1.R062.J,Yellow,13688981.86,3012653.939,69.01581062
5.65-S1.R062.K,Yellow,13688954.38,3012653.939,68.99920448
5.65-S1.R062.L,Yellow,13688930.27,3012653.939,68.98463483
5.65-S1.R063.A,Yellow,13689221.02,3012673.939,69.13033483
5.65-S1.R063.B,Light Green,13689200.28,3012673.939,69.11780166
5.65-S1.R063.C,Yellow,13689172.8,3012673.939,69.10119552
5.65-S1.R063.D,Yellow,13689145.32,3012673.939,69.08458938
5.65-S1.R063.E,Yellow,13689117.84,3012673.939,69.06798323
5.65-S1.R063.F,Yellow,13689090.36,3012673.939,69.05137709
5.65-S1.R063.G,Dark Blue,13689063.59,3012673.939,69.0352
5.65-S1.R063.H,Yellow,13689036.82,3012673.939,69.01902291
5.65-S1.R063.I,Yellow,13689009.34,3012673.939,69.00241677
5.65-S1.R063.J,Yellow,13688981.86,3012673.939,68.98581062
5.65-S1.R063.K,Yellow,13688954.38,3012673.939,68.96920448
5.65-S1.R063.L,Yellow,13688930.27,3012673.939,68.95463483
5.65-S1.R064.A,Yellow,13689221.02,3012693.939,69.10033483
5.65-S1.R064.B,Light Green,13689200.28,3012693.939,69.08780166
5.65-S1.R064.C,Yellow,13689172.8,3012693.939,69.07119552
5.65-S1.R064.D,Yellow,13689145.32,3012693.939,69.05458938
5.65-S1.R064.E,Yellow,13689117.84,3012693.939,69.03798323
5.65-S1.R064.F,Yellow,13689090.36,3012693.939,69.02137709
5.65-S1.R064.G,Dark Blue,13689063.59,3012693.939,69.0052
5.65-S1.R064.H,Yellow,13689036.82,3012693.939,68.98902291
5.65-S1.R064.I,Yellow,13689009.34,3012693.939,68.97241677
5.65-S1.R064.J,Yellow,13688981.86,3012693.939,68.95581062
5.65-S1.R064.K,Yellow,13688954.38,3012693.939,68.93920448
5.65-S1.R064.L,Yellow,13688930.27,3012693.939,68.92463483
5.65-S1.R065.A,Yellow,13689221.02,3012713.939,69.07033483
5.65-S1.R065.B,Light Green,13689200.28,3012713.939,69.05780166
5.65-S1.R065.C,Yellow,13689172.8,3012713.939,69.04119552
5.65-S1.R065.D,Yellow,13689145.32,3012713.939,69.02458938
5.65-S1.R065.E,Yellow,13689117.84,3012713.939,69.00798323
5.65-S1.R065.F,Yellow,13689090.36,3012713.939,68.99137709
5.65-S1.R065.G,Dark Blue,13689063.59,3012713.939,68.9752
5.65-S1.R065.H,Yellow,13689036.82,3012713.939,68.95902291
5.65-S1.R065.I,Yellow,13689009.34,3012713.939,68.94241677
5.65-S1.R065.J,Yellow,13688981.86,3012713.939,68.92581062
5.65-S1.R065.K,Yellow,13688954.38,3012713.939,68.90920448
5.65-S1.R065.L,Yellow,13688930.27,3012713.939,68.89463483
5.65-S1.R066.A,Yellow,13689221.02,3012733.939,69.04033483
5.65-S1.R066.B,Light Green,13689200.28,3012733.939,69.02780166
5.65-S1.R066.C,Yellow,13689172.8,3012733.939,69.01119552
5.65-S1.R066.D,Yellow,13689145.32,3012733.939,68.99458938
5.65-S1.R066.E,Yellow,13689117.84,3012733.939,68.97798323
5.65-S1.R066.F,Yellow,13689090.36,3012733.939,68.96137709
5.65-S1.R066.G,Dark Blue,13689063.59,3012733.939,68.9452
5.65-S1.R066.H,Yellow,13689036.82,3012733.939,68.92902291
5.65-S1.R066.I,Yellow,13689009.34,3012733.939,68.91241677
5.65-S1.R066.J,Yellow,13688981.86,3012733.939,68.89581062
5.65-S1.R066.K,Yellow,13688954.38,3012733.939,68.87920448
5.65-S1.R066.L,Yellow,13688930.27,3012733.939,68.86463483
5.65-S1.R067.A,Light Blue,13689221.02,3012753.939,69.01033483
5.65-S1.R067.B,Light Green,13689200.28,3012753.939,68.99780166
5.65-S1.R067.C,Yellow,13689172.8,3012753.939,68.98119552
5.65-S1.R067.D,Yellow,13689145.32,3012753.939,68.96458938
5.65-S1.R067.E,Yellow,13689117.84,3012753.939,68.94798323
5.65-S1.R067.F,Yellow,13689090.36,3012753.939,68.93137709
5.65-S1.R067.G,Dark Blue,13689063.59,3012753.939,68.9152
5.65-S1.R067.H,Yellow,13689036.82,3012753.939,68.89902291
5.65-S1.R067.I,Yellow,13689009.34,3012753.939,68.88241677
5.65-S1.R067.J,Yellow,13688981.86,3012753.939,68.86581062
5.65-S1.R067.K,Yellow,13688954.38,3012753.939,68.84920448
5.65-S1.R067.L,Yellow,13688930.27,3012753.939,68.83463483
5.65-S1.R068.A,Yellow,13689221.02,3012773.939,68.98033483
5.65-S1.R068.B,Light Green,13689200.28,3012773.939,68.96780166
5.65-S1.R068.C,Yellow,13689172.8,3012773.939,68.95119552
5.65-S1.R068.D,Yellow,13689145.32,3012773.939,68.93458938
5.65-S1.R068.E,Yellow,13689117.84,3012773.939,68.91798323
