id,northing,easting,z,color
08.S2.R23.H,2166122.75,6531859.14,0,Purple - Black
08.S2.R23.I,2166089,6531859.14,0,Pink - Black
08.S2.R23.J,2166055.25,6531859.14,0,Yellow - Black
08.S2.R23.K,2166025.64,6531859.14,0,Pink - Black
08.S2.R23.L,2165996.03,6531859.14,0,Pink - Black
08.S2.R24.A,2166348.25,6531877.14,0,Pink - Black
08.S2.R24.B,2166318.64,6531877.14,0,Pink - White
08.S2.R24.C,2166289.02,6531877.14,0,Blue - White
08.S2.R24.D,2166255.28,6531877.14,0,Blue - White
08.S2.R24.E,2166221.53,6531877.14,0,Pink - White
08.S2.R24.F,2166187.78,6531877.14,0,Pink - White
08.S2.R24.G,2166155.51,6531877.14,0,Green
08.S2.R24.H,2166123.23,6531877.14,0,Pink - White
08.S2.R24.I,2166089.49,6531877.14,0,Pink - White
08.S2.R24.J,2166055.74,6531877.14,0,Blue - White
08.S2.R24.K,2166026.13,6531877.14,0,Blue - White
08.S2.R24.L,2165996.51,6531877.14,0,Blue - Black
08.S2.R25.A,2166348.73,6531895.14,0,Pink - Black
08.S2.R25.B,2166319.12,6531895.14,0,Pink - White
08.S2.R25.C,2166289.51,6531895.14,0,Blue - White
08.S2.R25.D,2166255.76,6531895.14,0,Blue - White
08.S2.R25.E,2166222.01,6531895.14,0,Pink - White
08.S2.R25.F,2166188.26,6531895.14,0,Pink - White
08.S2.R25.G,2166155.99,6531895.14,0,Green
08.S2.R25.H,2166123.72,6531895.14,0,Pink - White
08.S2.R25.I,2166089.97,6531895.14,0,Pink - White
